MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,
0.187806,6.821526,2.408291,0.231305,0,,
0.101762,0.505626,2.153209,-0.084769,0,,
0.114509,0.442467,2.089439,-0.242806,0,,
0.092201,0.474046,2.440176,-0.969776,0,,
0.101762,0.568785,2.21698,-0.242806,0,,
0.13363,0.474046,2.312635,-0.116376,0,,
0.085828,0.442467,2.663372,1.27435,0,,
0.155937,0.568785,2.21698,-0.116376,0,,
0.108135,0.568785,2.21698,-0.179591,0,,
0.079454,0.537205,1.706816,-0.179591,0,,
0.089014,0.505626,2.121324,-0.242806,0,,
0.089014,0.568785,2.121324,-0.179591,0,,
0.082641,0.537205,2.153209,-0.179591,0,,
0.066707,0.568785,2.057554,-0.242806,0,,
-0.000216,0.379308,4.831566,-0.969776,0,,
0.050773,0.663523,2.153209,-0.147983,0,,
0.060333,0.947739,2.472061,2.791505,0,,
0.095388,0.789841,2.34452,0.073268,0,,
0.092201,0.726682,2.312635,0.010054,0,,
0.117696,2.558293,2.21698,-0.084769,0,,
0.114509,0.568785,2.185094,-0.179591,0,,
0.108135,0.568785,2.21698,-0.116376,0,,
0.101762,0.537205,2.185094,-0.179591,0,,
0.114509,0.600364,2.089439,-0.242806,0,,
0.098575,0.568785,2.248865,-0.147983,0,,
0.104948,0.474046,2.21698,-0.274413,0,,
0.13363,0.600364,2.248865,-0.053161,0,,
0.13363,0.537205,2.34452,-0.242806,0,,
0.111322,0.537205,2.28075,-0.242806,0,,
0.114509,0.631944,2.185094,-0.179591,0,,
0.082641,0.505626,2.121324,-0.242806,0,,
0.092201,0.505626,3.619928,-0.179591,0,,
0.069894,0.316149,1.866242,-0.369235,0,,
0.066707,0.600364,2.121324,-0.179591,0,,
0.053959,0.600364,2.057554,-0.179591,0,,
0.053959,0.631944,2.185094,-0.147983,0,,
0.050773,1.042477,2.376406,0.041661,0,,
0.085828,0.789841,2.34452,0.073268,0,,
0.104948,3.853053,2.567717,0.041661,0,,
0.14319,0.821421,4.927222,1.527209,0,,
0.165498,0.568785,2.089439,-0.147983,0,,
0.2133,0.758262,2.312635,-0.084769,0,,
0.095388,0.537205,2.248865,-0.242806,0,,
0.104948,0.410887,2.121324,-0.179591,0,,
0.079454,0.000354,2.121324,-0.653702,0,,
0.085828,0.347728,2.312635,-0.179591,0,,
0.136817,0.631944,3.07788,-0.116376,0,,
0.710442,0.25299,2.503946,0.168091,0,,
0.127256,0.600364,2.21698,-0.147983,0,,
0.120883,0.568785,2.025668,-0.30602,0,,
0.111322,0.568785,2.185094,-0.179591,0,,
0.082641,0.568785,2.535832,-0.116376,0,,
0.053959,0.537205,2.089439,-0.211198,0,,
0.076267,0.537205,2.089439,-0.242806,0,,
0.053959,0.600364,1.961898,-0.242806,0,,
0.076267,0.695103,2.153209,-0.084769,0,,
0.053959,0.947739,2.503946,0.104876,0,,
0.07308,0.821421,2.34452,0.104876,0,,
0.098575,0.695103,2.248865,-0.053161,0,,
0.130443,0.726682,2.057554,0.010054,0,,
0.104948,1.042477,2.185094,-0.211198,0,,
0.117696,0.537205,2.025668,-0.053161,0,,
0.108135,0.442467,2.153209,-0.147983,0,,
0.089014,0.379308,2.21698,0.136483,0,,
0.104948,0.726682,2.21698,-0.147983,0,,
0.130443,0.631944,2.376406,-0.179591,0,,
