MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
0.028465,0.000354,3.428617,-0.179591,0
-0.000216,1.989862,2.025668,-0.30602,0
0.034839,0.063513,1.961898,-0.242806,0
0.06352,0.347728,2.312635,-0.021554,0
0.06352,0.505626,2.185094,-0.021554,0
0.095388,0.284569,2.248865,0.041661,0
0.07308,0.25299,2.28075,-0.021554,0
0.101762,0.158251,2.982224,-0.084769,0
0.089014,0.095092,2.153209,-0.179591,0
0.098575,0.031933,2.089439,-0.179591,0
0.117696,0.25299,2.025668,-0.211198,0
0.092201,4.137268,1.770587,-0.30602,0
0.07308,0.410887,2.248865,-0.242806,0
0.328025,0.726682,3.87501,1.14792,0
0.079454,2.431975,2.025668,-0.274413,0
0.140003,1.610908,3.269191,0.578987,0
0.104948,0.000354,2.089439,-0.242806,0
0.175058,0.695103,2.950339,-0.43245,0
0.066707,0.031933,2.121324,-0.274413,0
0.06352,0.095092,2.089439,-0.179591,0
0.047586,0.126672,2.057554,-0.211198,0
0.031652,0.031933,1.993783,-0.242806,0
-0.000216,0.095092,1.993783,-0.179591,0
0.053959,0.347728,2.089439,-0.053161,0
0.047586,0.410887,2.472061,0.041661,0
0.124069,0.347728,2.376406,0.104876,0
0.108135,0.284569,2.312635,0.073268,0
0.022091,-0.125964,1.770587,-0.337628,0
0.114509,-0.031226,1.930013,-0.495665,0
0.085828,0.663523,2.28075,-0.179591,0
0.092201,0.095092,2.21698,-0.116376,0
0.101762,0.095092,2.440176,-0.30602,0
0.104948,0.031933,2.34452,-0.147983,0
-0.003403,-0.094385,2.28075,2.791505,0
0.085828,0.063513,2.089439,-0.147983,0
0.07308,-0.062805,2.121324,-0.274413,0
-0.022524,-0.283862,1.802472,-0.43245,0
0.127256,0.095092,1.866242,0.895061,0
0.079454,0.063513,2.153209,-0.274413,0
0.022091,0.000354,2.025668,-0.274413,0
0.002971,4.67412,2.089439,0.010054,0
0.012531,0.063513,1.930013,-0.242806,0
0.057146,0.158251,2.057554,-0.242806,0
0.018905,0.347728,2.248865,-0.053161,0
0.066707,0.442467,2.472061,0.073268,0
0.098575,0.347728,2.376406,0.041661,0
0.025278,0.284569,2.535832,0.168091,0
0.06352,0.126672,2.21698,-0.053161,0
0.117696,0.158251,2.089439,-0.116376,0
