MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
0.229234,1.453011,2.599602,0.262913,0,,,
0.092201,1.074057,2.34452,0.041661,0,,,
0.101762,0.88458,2.121324,-0.084769,0,,,
0.104948,0.916159,2.21698,-0.116376,0,,,
0.117696,0.347728,2.440176,-0.147983,0,,,
0.506487,0.663523,2.28075,-0.400843,0,,,
0.085828,0.789841,2.248865,-0.337628,0,,,
0.098575,0.853,2.21698,-0.242806,0,,,
0.136817,0.568785,2.312635,-0.053161,0,,,
0.127256,5.179392,2.121324,-0.179591,0,,,
0.136817,1.105636,2.312635,-0.748524,0,,,
0.111322,1.010898,2.185094,-0.179591,0,,,
0.101762,1.010898,2.248865,-0.116376,0,,,
0.092201,0.979318,2.34452,-0.211198,0.569806,,,
0.095388,0.474046,2.121324,-0.179591,0.569806,,,
0.076267,1.042477,2.153209,-0.211198,0.569806,,,
0.06352,0.979318,2.057554,-0.211198,0.569806,,,
0.041212,0.88458,4.767796,-0.116376,0.569806,,,
0.13363,1.231954,2.440176,0.041661,0.569806,,,
0.089014,1.168795,2.440176,0.168091,0.569806,,,
0.114509,1.168795,2.34452,0.073268,0.569806,,,
0.104948,1.168795,2.376406,0.073268,0.569806,,,
0.120883,0.979318,4.990992,-0.337628,0.569806,,,
0.076267,0.979318,2.057554,1.685246,0.569806,,,
0.111322,1.042477,2.472061,-0.053161,0.569806,,,
0.114509,0.947739,2.153209,-0.053161,0.569806,,,
0.079454,1.010898,2.567717,-0.274413,0.569806,,,
0.104948,1.010898,2.376406,-0.30602,0.569806,,,
0.124069,1.010898,2.34452,-0.053161,0.569806,,,
0.14319,0.979318,2.312635,-0.116376,0.569806,,,
0.117696,6.158356,2.185094,-0.147983,0.569806,,,
0.104948,0.947739,1.802472,-0.274413,0.569806,,,
0.095388,1.768806,2.121324,-0.211198,0.569806,,,
0.07308,0.947739,2.185094,-0.211198,0.569806,,,
0.066707,1.010898,1.961898,-0.179591,0.9263,,,
0.159124,0.600364,2.28075,0.926668,0.9263,,,
0.490552,0.789841,2.376406,1.02149,0.9263,,,
0.586157,9.72684,2.312635,1.084705,0.9263,,,
0.181432,1.421431,2.472061,1.27435,0.9263,,,
0.018905,1.51617,3.109765,1.27435,0.9263,,,
0.229234,1.642488,3.01411,1.400779,0.9263,,,
0.640333,1.800385,3.045995,1.369172,0.9263,,,
0.420443,2.021442,2.982224,1.084705,0.9263,,,
0.605278,1.51617,2.503946,0.958276,0.9263,,,
0.624398,1.737226,2.982224,1.084705,0.9263,,,
0.684948,1.989862,3.205421,1.053098,0.9263,,,
0.809233,2.11618,3.364847,1.179527,0.9263,,,
1.051431,2.210919,2.886569,0.989883,0.9263,,,
1.287255,2.716191,3.588043,3.992586,0.9263,,,
1.309563,2.905668,3.81124,1.432387,0.9263,,,
1.558134,3.126724,3.747469,1.369172,0.9263,,,
1.905496,3.063565,1.802472,1.27435,0.827724,,,
2.287913,3.284622,3.779354,1.369172,0.827724,,,
2.858352,0.758262,4.098206,1.906498,0.827724,,,
