MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
0.089014,1.010898,2.057554,-0.43245,0,,,,,
0.07308,0.979318,2.089439,-0.179591,0,,,,,
0.060333,1.010898,1.961898,-0.30602,0,,,,,
0.012531,0.947739,2.057554,-0.242806,0,,,,,
0.018905,0.695103,1.961898,-0.274413,0,,,,,
0.028465,1.231954,2.440176,-0.242806,0,,,,,
0.076267,1.295113,2.472061,0.041661,0,,,,,
0.101762,1.295113,2.28075,0.073268,0,,,,,
0.114509,1.168795,2.34452,-0.084769,0,,,,,
0.079454,1.010898,2.185094,-0.116376,0,,,,,
0.092201,1.010898,2.21698,-0.147983,0,,,,,
0.098575,1.137216,2.025668,-0.242806,0,,,,,
0.101762,1.042477,2.312635,-0.242806,0,,,,,
0.111322,0.88458,2.057554,-0.242806,0,,,,,
0.089014,0.916159,2.312635,0.136483,0,,,,,
0.057146,1.042477,2.34452,-0.179591,0,,,,,
0.430003,0.568785,5.851892,2.064535,0,,,,,
0.127256,0.979318,2.185094,-0.242806,0,,,,,
0.095388,0.979318,1.961898,-0.211198,0,,,,,
0.095388,1.074057,2.185094,-0.242806,0,,,,,
0.079454,0.979318,2.089439,-0.274413,0,,,,,
0.069894,0.663523,2.057554,-0.242806,0,,,,,
0.041212,0.947739,2.057554,-0.211198,0,,,,,
-0.028898,1.105636,2.153209,-0.116376,0,,,,,
0.047586,1.010898,2.025668,-0.211198,0,,,,,
0.031652,1.263534,2.248865,-0.084769,0,,,,,
0.060333,1.295113,2.408291,0.073268,0,,,,,
0.095388,1.200375,2.312635,0.010054,0,,,,,
0.066707,1.074057,2.34452,0.041661,0,,,,,
0.104948,1.042477,2.21698,-0.053161,0,,,,,
0.445937,1.895124,3.683699,1.716853,0,,,,,
0.108135,0.88458,2.089439,-0.369235,0,,,,,
0.092201,0.916159,2.312635,-0.242806,0,,,,,
0.085828,0.758262,1.579276,3.297223,0,,,,,
0.308904,1.295113,2.535832,0.231305,0,,,,,
0.140003,3.063565,2.440176,0.199698,0,,,,,
0.111322,1.074057,2.21698,-0.084769,0,,,,,
0.155937,1.010898,2.21698,-0.116376,0,,,,,
0.089014,0.947739,2.153209,-0.179591,0,,,,,
0.060333,0.821421,2.185094,2.380609,0,,,,,
0.07308,0.979318,1.706816,-0.242806,0,,,,,
0.328025,1.074057,2.472061,-0.021554,0,,,,,
0.06352,0.979318,1.993783,-0.211198,0,,,,,
0.047586,1.263534,2.408291,-0.242806,0,,,,,
0.041212,0.979318,2.057554,-0.938168,0,,,,,
0.041212,1.137216,2.248865,-0.084769,0,,,,,
0.050773,1.200375,2.472061,0.010054,0,,,,,
0.066707,1.168795,2.312635,-0.021554,0,,,,,
0.098575,1.105636,2.695258,0.041661,0,,,,,
0.124069,1.137216,2.503946,3.297223,0,,,,,
0.120883,0.979318,2.21698,-0.147983,0,,,,,
0.076267,1.042477,2.503946,-0.242806,0,,,,,
0.085828,1.042477,2.28075,-0.242806,0,,,,,
0.085828,0.758262,2.089439,1.432387,0,,,,,
0.127256,1.831965,2.376406,-0.147983,0,,,,,
0.111322,1.010898,1.706816,-0.147983,0,,,,,
0.14319,0.979318,2.153209,-0.084769,0,,,,,
0.117696,0.821421,2.185094,-0.242806,0,,,,,
0.082641,0.979318,2.185094,-0.211198,0,,,,,
0.079454,0.916159,2.121324,0.357735,0,,,,,
0.092201,1.042477,2.21698,-0.242806,0,,,,,
0.07308,0.88458,3.460502,0.041661,0,,,,,
0.07308,0.979318,2.121324,-0.179591,0,,,,,
0.022091,0.979318,1.961898,-0.242806,0,,,,,
0.015718,0.88458,1.993783,-0.211198,0,,,,,
0.041212,1.137216,2.34452,-0.147983,0,,,,,
0.066707,1.231954,2.376406,0.104876,0,,,,,
0.120883,1.263534,2.34452,0.041661,0,,,,,
0.124069,1.168795,2.34452,0.010054,0,,,,,
0.092201,1.074057,2.185094,0.642202,0,,,,,
0.095388,0.979318,2.185094,-0.147983,0,,,,,
0.127256,5.779402,2.185094,-0.084769,0,,,,,
0.098575,0.979318,2.408291,-0.179591,0,,,,,
